date,headline,summary,url,source,category,keyword,oil_relevance,is_noise
2014-12-30,U.S. opening of oil export tap widens battle for global market,U.S. opening of oil export tap widens battle for global market Reuters,https://news.google.com/rss/articles/CBMitwFBVV95cUxPSmw1bzhDemZoTlMzNm1BeW9fcUpoS05uMVF5SHk5bTZWSjRfSjNIVkxaYklBZHVib2ZFREF0WHBpS1JOOEJFcUpTZ2drVEJSV2lINVdHU0JWeVBzdk1jN0pqdVV1TUtCVDU4T3k0czB0VVhNek9pRy1TQkpYZEVoOFRnODNKcW9FUEg0RjJfOFhRampjR01hWGVXemZ6MEFnLUV3RmdnTEZXa0VXcFN3WUJwQ2lSdWc?oc=5,Reuters,demand,oil gasoline demand,2,False
2014-12-30,"Next's Christmas sales rise 2.9 pct, lifts 2014 profit guidance","Next's Christmas sales rise 2.9 pct, lifts 2014 profit guidance Reuters",https://news.google.com/rss/articles/CBMitwFBVV95cUxNdWc4NDlYdnRKMGtZNEQ4VnpvTS0xdk5YUHhsa0hvdl9YSVJnRzZfa1Nkc2d5Zm16VFJxOGg0OTFHYXd0cEIyWlMyUzRIeE5DWXl4YVpmYXQ0aVM2TFcxcFFkN0c0aTkxcDZnY09nd3JSSkpVeVVMQVJza3dKUktaSGg4bzUwcEJDeHhaTDFaZ1duQTAtdFo1TVpFY0lDdllMdUctZU42RkQ1Y203NVRhblNuYjBJdWM?oc=5,Reuters,demand,oil gasoline demand,0,True
2014-12-30,Exclusive: Oil price crash claims first U.S. LNG project casualty,Exclusive: Oil price crash claims first U.S. LNG project casualty Reuters,https://news.google.com/rss/articles/CBMiugFBVV95cUxPUVRkVURTc0tqUl9kVk44T3J6U0NuMDBPaXpjZDJicmRCUmludWlYQU5nZEJrWkFRQm5WUjhJSDdvQ3NESnY2eTF4RVdBWlZCaFBPcVNjQ0RrazQ3a056cmc5aHdLaXR6WDVuZGxCMUNaaEhWWDl0Umt2UEItZk1LWkxVYzZVSTRKYnZlMjcyVzAyU1NBVXc1a2Q3VGc5WjMwZkhITFlMTFNhVlMwY0VfUmRaVlM5ZkFpMkE?oc=5,Reuters,demand,global oil demand,2,False
2014-12-29,Google's Gmail blocked in China,Google's Gmail blocked in China Reuters,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNeFdSREJmYm9aN3YtRkpLaUwtYlJnOWxzalA4ODdsanBxbElFdTZpTVluUlNCcXJrT2x6M0Jad2FGa194SDczb1RyckVfa0c2ZmtvbWpvUEhmdjhnU2VFN18zVlNFMk5fMHRqV1dCeWN4Y1RtN1F1NGx5OFptd2hNQlpXaGZURmg0eENz?oc=5,Reuters,demand,oil consumption,0,True
2014-12-28,"Crunch time: As sanctions bite, Putin ally gets into apples","Crunch time: As sanctions bite, Putin ally gets into apples Reuters",https://news.google.com/rss/articles/CBMigwFBVV95cUxQTU1ZY2wyTkEyUjJLaEc2c1hHNkIwTnZDWjNYcWxyd2lsZXByaGVLVHFnVEY3NENpY0dEUTNCaWZEWFhhRUlmVTJCNkRxVUFzOU1ncmdTVnZGZlF0bTBybTgzbzJqUWJiZk10OGVScWdVZHRfNjdtTmViOVNpRVNpMVhkMA?oc=5,Reuters,demand,global oil demand,0,True
2014-12-27,Thieves fry Kenya's power grid to cook fast food,Thieves fry Kenya's power grid to cook fast food Reuters,https://news.google.com/rss/articles/CBMipgFBVV95cUxPTHg0YmFOYm9lVEtDVnJmakVMb05pX2lTS1BBN0diQTdpaEdKNjNjNTVIYWcxTUtJYVVNa1J6Vlo2c01fdkdiVWRubUFNRktDNEc5b01OeHNjTkdkcnhVSWZiRlhTM1NYcU1Ob3hzbk50d194aUNvMU5WVWpRcTlkallROS1xMnlibkpGM2RCamc0XzE4V2kzUUZyZUNCQmVvLUZhWU13?oc=5,Reuters,demand,oil consumption,0,True
2014-12-26,"Islamic State targeted in 39 strikes by U.S., allies - Task Force","Islamic State targeted in 39 strikes by U.S., allies - Task Force Reuters",https://news.google.com/rss/articles/CBMiswFBVV95cUxObEdNWTd3XzE1SVFGZThBcmxxZUlHWmlEYmxLdm1YOEFZSVZUWXpEM1ZUS2V2d0tOOFMtWEN6UWtWZTgtWUFyTFZocUoxUWFTNlQyZ18tWlNMZEY2ZEw3S1NfRXVUajFGZGluYktkUUNaN3d5VjRFSlQ2R2JXX3g3Xy1pSlNtZlctZU05dHRWWElqZEhoRS03ZU1NT3FCa1JFRXZrQVB1aEJPcVFNak5qVlJLYw?oc=5,Reuters,demand,oil consumption,0,True
2014-12-25,Japan November core CPI rises 2.7 percent year/year,Japan November core CPI rises 2.7 percent year/year Reuters,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOalNBYTNneEIxYWNKSU1HQTRDMllyN3E4aFNPSUZSc0ozM1hFWm90WlpRU1RxdzNBYkZJUTAzUWFJLUJBaVVrWDZ4UHdjd1l3bHZwdU9KQVFFclpMb0R6TmhfbFlONUhqRFoxVTNsYzN0bldoTUFlcDZCUVJ0SmoxR1lEU3J3VV9JeVpYVzdZd3BrZVlheUt4a2lTdVRWeHNlcEl3TzlWS18?oc=5,Reuters,demand,global oil demand,0,True
2014-12-24,"Rouble stable, but S&P downgrade warning weighs","Rouble stable, but S&P downgrade warning weighs Reuters",https://news.google.com/rss/articles/CBMiogFBVV95cUxPZkJCLUpmdEJmQ295T2FCelo3NGpid0hkUFRNSkpEZGkzN3haa2VBQ3RHX1I1b3M1LXktOU5aZkRhbk53cUJHSXppUzR5YVhyQTQ3dU85NURjVl9wcV84OWY5bHlzV2lQREhtSThuS2FqSTFEdDRRSmRQS1E5ZWZMc2dIVW8zdlpLN2hqbnBoTkNXbWtWaC13ZDNGSTQwSkRvQ3c?oc=5,Reuters,demand,oil consumption,0,True
2014-12-22,The reason oil could drop as low as $20 per barrel: Kaletsky,The reason oil could drop as low as $20 per barrel: Kaletsky Reuters,https://news.google.com/rss/articles/CBMiekFVX3lxTFBZMDZKSWVLaG1FUEZVeEdjdFlEZ1cxWUw3ZzVnOGtGU29vUUJPa0Y4aTZ6U3J6Sl9aTjNPNVdQZnIzYTUwalN0aEI1RVBrbzlyNHlxZkhYMUdaX1p0WUxYaF9jeGhpcDR6V2FsMUpFaUFrQmJrQXVkUmZR?oc=5,Reuters,demand,oil gasoline demand,2,False
2014-12-21,Saudi Arabia says won't cut oil output,Saudi Arabia says won't cut oil output Reuters,https://news.google.com/rss/articles/CBMimAFBVV95cUxNNFByTzhnemVOZkVCSGM0c1V3R1o2NElrMVlaNEZSaHJET2RjaTM4YUVLckdDRjNKMll0M01iUkNsUDNUZ1o5SXZZa2VuVzR3cGF5Rk0zaUIwTEx0ZlZ1Sk1NQnNEUGptdXYtLWdiVEp0c29weUV1RGlydXNrSk53UktNb0puelpMaDlPQWNENUUxaXdKZWxGTA?oc=5,Reuters,demand,oil gasoline demand,2,False
