date,headline,summary,url,source,category,keyword,event,oil_relevance,is_noise
2020-03-31,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell Reuters,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNbUdyd1JmYXJkRU1WY1ROWmR1S3k2ZS1ZeUFodEtGU0doZkI4UTdkcDd3bkFyV19tUVNNRGpBb3RXSlBYYkl4Y3hoTS1DaWtlQk15QWRaR19VVlZaY3RINzVpelRKQl9RNDVIWENHZWZ4UXRTUlNDVWFCOE1LeUYxeHJCRHdlYnhkZ2xFVDlwdkY3SG01SENBb2ZhdTh0S21iS1BIenR6MkhRX29hNDlfMWx1V0lqeVV0RlRQWkhhd3JWWWJzbWYxdTRNaFh2SjR6VkhCcmYyVkQ?oc=5,Reuters,demand,energy demand oil,covid_oil_shock,0,True
2020-03-31,Trump finalizes rollback of Obama-era vehicle fuel efficiency standards,Trump finalizes rollback of Obama-era vehicle fuel efficiency standards Reuters,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPcmdMZ3JRZVp6cVJnZlRnMnNuX2VMMDRidXlpWDFMX1F1dWtQWnJsRS1hYkJROFBGOWRXRE1zaW5FYkU0SnY4WFVTQ3d4N19JTnJjUkVZVjYtb3p6dlN5T05lTzdxSmxqZHpBbFhJY1dkMkFMOHl5NVFpRENHektadWJWSVdZVEVFSkR2SzhfUW84V1NoS1hNWmJKZnNBOHRxNFoyYnQtNUtyT2paUFVkSU1YM0pMRTRfb0doUEZibEtUa1dqaGZrWDVIY3l0VVJwNWZXdTdB?oc=5,Reuters,demand,energy demand oil,covid_oil_shock,1,False
2020-03-31,"Indian doctors fight coronavirus with raincoats, helmets amid lack of equipment","Indian doctors fight coronavirus with raincoats, helmets amid lack of equipment Reuters",https://news.google.com/rss/articles/CBMiywFBVV95cUxOOVhjMUowZGZVQlY5UHNuNlRLMFhxOXJsNU9zcVdOaVRIQWg5X2Y0emc2dTZDX0ZsZ2lPQXdoMHZvTXl0QzlqQTRabWxpUWxlQ0pJODk5RFJSMlpyc0FHclpGSV85Zko0SDNtTUl2Z1pGbTFlOWtJR2J3c3lhOWdFX0hwcjF1MkNndlVUYTFzZEU5bDl4WFF6TVpWcG1mRmtpZGNnR1E3YkgySFJiSm5DdEZMVWIxNVdLVzRqekppeFM2OWo1U0VMV3Zicw?oc=5,Reuters,demand,energy demand oil,covid_oil_shock,0,True
2020-03-31,Trump finalizes rollback of Obama-era vehicle fuel efficiency standards,Trump finalizes rollback of Obama-era vehicle fuel efficiency standards Reuters,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPcmdMZ3JRZVp6cVJnZlRnMnNuX2VMMDRidXlpWDFMX1F1dWtQWnJsRS1hYkJROFBGOWRXRE1zaW5FYkU0SnY4WFVTQ3d4N19JTnJjUkVZVjYtb3p6dlN5T05lTzdxSmxqZHpBbFhJY1dkMkFMOHl5NVFpRENHektadWJWSVdZVEVFSkR2SzhfUW84V1NoS1hNWmJKZnNBOHRxNFoyYnQtNUtyT2paUFVkSU1YM0pMRTRfb0doUEZibEtUa1dqaGZrWDVIY3l0VVJwNWZXdTdB?oc=5,Reuters,demand,fuel demand,covid_oil_shock,2,False
2020-03-31,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell Reuters,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNbUdyd1JmYXJkRU1WY1ROWmR1S3k2ZS1ZeUFodEtGU0doZkI4UTdkcDd3bkFyV19tUVNNRGpBb3RXSlBYYkl4Y3hoTS1DaWtlQk15QWRaR19VVlZaY3RINzVpelRKQl9RNDVIWENHZWZ4UXRTUlNDVWFCOE1LeUYxeHJCRHdlYnhkZ2xFVDlwdkY3SG01SENBb2ZhdTh0S21iS1BIenR6MkhRX29hNDlfMWx1V0lqeVV0RlRQWkhhd3JWWWJzbWYxdTRNaFh2SjR6VkhCcmYyVkQ?oc=5,Reuters,demand,fuel demand,covid_oil_shock,0,True
2020-03-31,Trump finalizes rollback of Obama-era vehicle fuel efficiency standards,Trump finalizes rollback of Obama-era vehicle fuel efficiency standards Reuters,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPcmdMZ3JRZVp6cVJnZlRnMnNuX2VMMDRidXlpWDFMX1F1dWtQWnJsRS1hYkJROFBGOWRXRE1zaW5FYkU0SnY4WFVTQ3d4N19JTnJjUkVZVjYtb3p6dlN5T05lTzdxSmxqZHpBbFhJY1dkMkFMOHl5NVFpRENHektadWJWSVdZVEVFSkR2SzhfUW84V1NoS1hNWmJKZnNBOHRxNFoyYnQtNUtyT2paUFVkSU1YM0pMRTRfb0doUEZibEtUa1dqaGZrWDVIY3l0VVJwNWZXdTdB?oc=5,Reuters,demand,gasoline demand,covid_oil_shock,1,False
2020-03-31,Swedish economy seen shrinking 4% in 2020 as pandemic hits,Swedish economy seen shrinking 4% in 2020 as pandemic hits Reuters,https://news.google.com/rss/articles/CBMiX0FVX3lxTE5kWGo5X1ZtMkRlU20xakJIWndwdmNadDg3SVV5bzRCRVFaamFPam9qUFY4dE1WamJIVU50bmRfQVdLZnFfMGMwdWhoY1hHUF82ZDVEb0FjYkFQNUZuT1Fr?oc=5,Reuters,demand,gasoline demand,covid_oil_shock,0,True
2020-03-31,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell Reuters,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNbUdyd1JmYXJkRU1WY1ROWmR1S3k2ZS1ZeUFodEtGU0doZkI4UTdkcDd3bkFyV19tUVNNRGpBb3RXSlBYYkl4Y3hoTS1DaWtlQk15QWRaR19VVlZaY3RINzVpelRKQl9RNDVIWENHZWZ4UXRTUlNDVWFCOE1LeUYxeHJCRHdlYnhkZ2xFVDlwdkY3SG01SENBb2ZhdTh0S21iS1BIenR6MkhRX29hNDlfMWx1V0lqeVV0RlRQWkhhd3JWWWJzbWYxdTRNaFh2SjR6VkhCcmYyVkQ?oc=5,Reuters,demand,gasoline demand,covid_oil_shock,0,True
2020-03-31,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell Reuters,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNbUdyd1JmYXJkRU1WY1ROWmR1S3k2ZS1ZeUFodEtGU0doZkI4UTdkcDd3bkFyV19tUVNNRGpBb3RXSlBYYkl4Y3hoTS1DaWtlQk15QWRaR19VVlZaY3RINzVpelRKQl9RNDVIWENHZWZ4UXRTUlNDVWFCOE1LeUYxeHJCRHdlYnhkZ2xFVDlwdkY3SG01SENBb2ZhdTh0S21iS1BIenR6MkhRX29hNDlfMWx1V0lqeVV0RlRQWkhhd3JWWWJzbWYxdTRNaFh2SjR6VkhCcmYyVkQ?oc=5,Reuters,demand,oil demand recession,covid_oil_shock,0,True
2020-03-31,Trump finalizes rollback of Obama-era vehicle fuel efficiency standards,Trump finalizes rollback of Obama-era vehicle fuel efficiency standards Reuters,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPcmdMZ3JRZVp6cVJnZlRnMnNuX2VMMDRidXlpWDFMX1F1dWtQWnJsRS1hYkJROFBGOWRXRE1zaW5FYkU0SnY4WFVTQ3d4N19JTnJjUkVZVjYtb3p6dlN5T05lTzdxSmxqZHpBbFhJY1dkMkFMOHl5NVFpRENHektadWJWSVdZVEVFSkR2SzhfUW84V1NoS1hNWmJKZnNBOHRxNFoyYnQtNUtyT2paUFVkSU1YM0pMRTRfb0doUEZibEtUa1dqaGZrWDVIY3l0VVJwNWZXdTdB?oc=5,Reuters,demand,petroleum consumption,covid_oil_shock,1,False
