date,headline,summary,url,source,category,keyword,event,oil_relevance,is_noise
2020-03-31,Trump finalizes rollback of Obama-era vehicle fuel efficiency standards,Trump finalizes rollback of Obama-era vehicle fuel efficiency standards Reuters,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPcmdMZ3JRZVp6cVJnZlRnMnNuX2VMMDRidXlpWDFMX1F1dWtQWnJsRS1hYkJROFBGOWRXRE1zaW5FYkU0SnY4WFVTQ3d4N19JTnJjUkVZVjYtb3p6dlN5T05lTzdxSmxqZHpBbFhJY1dkMkFMOHl5NVFpRENHektadWJWSVdZVEVFSkR2SzhfUW84V1NoS1hNWmJKZnNBOHRxNFoyYnQtNUtyT2paUFVkSU1YM0pMRTRfb0doUEZibEtUa1dqaGZrWDVIY3l0VVJwNWZXdTdB?oc=5,Reuters,demand,global oil demand,covid_oil_shock,1,False
2020-03-31,"Indian doctors fight coronavirus with raincoats, helmets amid lack of equipment","Indian doctors fight coronavirus with raincoats, helmets amid lack of equipment Reuters",https://news.google.com/rss/articles/CBMiywFBVV95cUxOOVhjMUowZGZVQlY5UHNuNlRLMFhxOXJsNU9zcVdOaVRIQWg5X2Y0emc2dTZDX0ZsZ2lPQXdoMHZvTXl0QzlqQTRabWxpUWxlQ0pJODk5RFJSMlpyc0FHclpGSV85Zko0SDNtTUl2Z1pGbTFlOWtJR2J3c3lhOWdFX0hwcjF1MkNndlVUYTFzZEU5bDl4WFF6TVpWcG1mRmtpZGNnR1E3YkgySFJiSm5DdEZMVWIxNVdLVzRqekppeFM2OWo1U0VMV3Zicw?oc=5,Reuters,demand,global oil demand,covid_oil_shock,0,True
2020-03-31,StanChart widens oil demand loss forecasts citing lockdowns,StanChart widens oil demand loss forecasts citing lockdowns Reuters,https://news.google.com/rss/articles/CBMib0FVX3lxTE54T2poSTFySldJcmJrWm5nS0FEY0pzR0hzRl8wM2pSajN6cTJ5Q1JjendwTlpad20xTXN4ekVXbEJnMFpqV1RKcHF0RmtTQk1UQ1dYVTNfVUxDSGZ2OXljR1Yta2F2OGdJVjRuVFl2cw?oc=5,Reuters,demand,oil consumption,covid_oil_shock,2,False
2020-03-31,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell Reuters,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNbUdyd1JmYXJkRU1WY1ROWmR1S3k2ZS1ZeUFodEtGU0doZkI4UTdkcDd3bkFyV19tUVNNRGpBb3RXSlBYYkl4Y3hoTS1DaWtlQk15QWRaR19VVlZaY3RINzVpelRKQl9RNDVIWENHZWZ4UXRTUlNDVWFCOE1LeUYxeHJCRHdlYnhkZ2xFVDlwdkY3SG01SENBb2ZhdTh0S21iS1BIenR6MkhRX29hNDlfMWx1V0lqeVV0RlRQWkhhd3JWWWJzbWYxdTRNaFh2SjR6VkhCcmYyVkQ?oc=5,Reuters,demand,oil consumption,covid_oil_shock,0,True
2020-03-30,Tencent-backed online education firm Yuanfudao raises $1 billion in new round,Tencent-backed online education firm Yuanfudao raises $1 billion in new round Reuters,https://news.google.com/rss/articles/CBMizAFBVV95cUxOMEozNFVFcm50bzVRdThveFNkNmhwXzhrS2V6eXJDOHlZbHRYbUxuWDVvZG1XdkZjT2M3Rk1PNEZkbXAzZF9fcXJCQWJwR2hKdTRDU1RCNkxUcEU2ZXFRRWt4bFNBWFdzcXEtLUVBMld5WDE0Umhjc2lTT3M4bDJvWTRpUklXc01KNG53cy0yd1hZQUVqWXl2cUpITm9mLXZEbDNzLUZWX1N3cVJzbWJqZGJaNmJ1UnljMGViemFMcjYyT3hfWjFzb3pvaG4?oc=5,Reuters,demand,global oil demand,covid_oil_shock,0,True
2020-03-30,"China stocks climb as factory activity rebounds, spurs hopes of recovery","China stocks climb as factory activity rebounds, spurs hopes of recovery Reuters",https://news.google.com/rss/articles/CBMiwwFBVV95cUxQS0pHMkNRYmtTSXkxQVlCaVdNQldvY2poS2owSHBaZDliMlhpQlZZam9jRzVyWWUwRFNnV2tQQW5QRElFbVN3T0V4OGt3bkg1Mm5sTU5IUG5mUWdDYWNLQmdZQkV0N3dHWU1NLTZuWWg0NUJYZm44anlrSnZrN3R4QWI5ZEw3N3gyMXVENm0zZkVSZGZjenVYWGhkTkRIcUtNU0xwMC1OUTNaLUpsak5SSUZVQmNaR0hwdTlBR3d0ZTl4Ync?oc=5,Reuters,demand,oil consumption,covid_oil_shock,0,True
2020-03-29,UAE's National General Insurance Shareholders Approve FY Dividend,UAE's National General Insurance Shareholders Approve FY Dividend Reuters,https://news.google.com/rss/articles/CBMi4AFBVV95cUxOd3VyVVFUdEt6TmR1ZFY5cFl1c0NOdy1fTzh3NHdyWTdpZWxjX25NR1gydkI2MEU0WldRazB2cml0emF3WmhTNUFvakVRU2duTWhKcEk5bFhXOFVHaXNmX2tSZEpTY0x0bFFlMVhVT28ycG40TmFGYWpJV0drdGdsM1ZKMUdtSkR5RVZZYm9XdVppWDlua0NzdWZ5cHFJc241X3pXSEZGZnJzNzlnSElKRXVrS2dnYTdocGRyQXpkYXZmTW4xT3d1UkVjLU1wdTF3VzVGaFZ1RlBMcXd0dWxOZw?oc=5,Reuters,demand,diesel demand,covid_oil_shock,0,True
2020-03-29,"Britain orders 10,000 ventilators in fight against coronavirus: source","Britain orders 10,000 ventilators in fight against coronavirus: source Reuters",https://news.google.com/rss/articles/CBMivgFBVV95cUxPTmdZd0cyVFRaeUJyMFg5VHp4VlVZa3d3TDBCdXZPSVhIYllPaVBuWWpIY1Y2YXRiYjAtS2RnclVyeExYMm5heHU3VFRJa2Z6NzFmZFZhbzRtRFdnTGJkM3ROamN2aV9Hc1hCVVRPNHhuWUF5TTJ3SE9LcHVzRUVMU19fNTZFQy1wbFFxMmlhMktIV29COERlZGtEQTRITWhtTnpjS1plU3VDbFBFMzhjMzVfRkMtWFJaYmpfNlJn?oc=5,Reuters,demand,global oil demand,covid_oil_shock,0,True
2020-03-29,Malaysia arrests hundreds for flouting curbs on movement as virus deaths rise,Malaysia arrests hundreds for flouting curbs on movement as virus deaths rise Reuters,https://news.google.com/rss/articles/CBMiygFBVV95cUxQOU9pY0RmUU0wdVJ6eHZERDd4WjZZOC1YYXpCTEFjNE9KMUU3cjJBczVIbHEyVGN2RGhtZGNwcmFMVmdqNXVGcTk1MjUwdFhHSlNJREE0eExBT1VvNV9vdlFpUUoxSzJjbkk5dTIzRTFXdS12X2F0djlYNmFCUDFiaXk1c05KamYzcGZKbVVabFFTZkc0YnFUWTFXZklZcVhRYldhZzFPNEJqeUppNFZSa0llOWdDMnpZc2FDUmNzazE3aV9RTG5DajVR?oc=5,Reuters,demand,global oil demand,covid_oil_shock,0,True
2020-03-27,"JFE to cut 13% steel capacity by March 2024, predicts record loss","JFE to cut 13% steel capacity by March 2024, predicts record loss Reuters",https://news.google.com/rss/articles/CBMiuwFBVV95cUxONDA5bHM5UXVKQkxtLWxUSnkwT0htTEs2MDdyNFowaVIycnhnNW9fMndCQjBkMDFfUjZldWtmWDl4bVRBYnVhUWlubDExTXRsVHVhY2NTejBlaXZxeXNKZGJTal9Ld3hDNDN0RHhhVGE0Y3lqWG84aGNEQlVQWGYwQ3pyd3g3OFp5M0xYZ0RIU083TDRldzQ3RU9DYnkyaTA3cWczU2QtOVNSYnBrN3N5Rkl4ZnlvSk1qZG5R?oc=5,Reuters,demand,global oil demand,covid_oil_shock,0,True
