date,headline,summary,url,source,category,keyword,event,oil_relevance,is_noise
2020-03-31,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell Reuters,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNbUdyd1JmYXJkRU1WY1ROWmR1S3k2ZS1ZeUFodEtGU0doZkI4UTdkcDd3bkFyV19tUVNNRGpBb3RXSlBYYkl4Y3hoTS1DaWtlQk15QWRaR19VVlZaY3RINzVpelRKQl9RNDVIWENHZWZ4UXRTUlNDVWFCOE1LeUYxeHJCRHdlYnhkZ2xFVDlwdkY3SG01SENBb2ZhdTh0S21iS1BIenR6MkhRX29hNDlfMWx1V0lqeVV0RlRQWkhhd3JWWWJzbWYxdTRNaFh2SjR6VkhCcmYyVkQ?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-31,Trump finalizes rollback of Obama-era vehicle fuel efficiency standards,Trump finalizes rollback of Obama-era vehicle fuel efficiency standards Reuters,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPcmdMZ3JRZVp6cVJnZlRnMnNuX2VMMDRidXlpWDFMX1F1dWtQWnJsRS1hYkJROFBGOWRXRE1zaW5FYkU0SnY4WFVTQ3d4N19JTnJjUkVZVjYtb3p6dlN5T05lTzdxSmxqZHpBbFhJY1dkMkFMOHl5NVFpRENHektadWJWSVdZVEVFSkR2SzhfUW84V1NoS1hNWmJKZnNBOHRxNFoyYnQtNUtyT2paUFVkSU1YM0pMRTRfb0doUEZibEtUa1dqaGZrWDVIY3l0VVJwNWZXdTdB?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,1,False
2020-03-31,"U.S. offers to lift Venezuela sanctions for power-sharing deal, shifting policy","U.S. offers to lift Venezuela sanctions for power-sharing deal, shifting policy Reuters",https://news.google.com/rss/articles/CBMiyAFBVV95cUxOLWtDM3RmZ2NTbW45UnVUMklGeFVTcXFUYjFMa2VsWjV0Zm5SclRSdm1Yc0RhSGltRzV0N2JXYXByRXVla2xKdUFxU2Rsb0YzUjVxcm1nSmpiYl85TVRBUVpRMUpxaVBEdWNZa3Q1cEFZQXBtYlpuSmtDalEyWDJXSTIxcVcxRk1JdjR0d2lMSHQ2SUo5M282TVVPVTQ0ckVSQU56MEFqT3NvMGVZdW5YNTFZdFBLTWd2QllidV9RQ3ZqaXpjX2lCbQ?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-31,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell Reuters,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNbUdyd1JmYXJkRU1WY1ROWmR1S3k2ZS1ZeUFodEtGU0doZkI4UTdkcDd3bkFyV19tUVNNRGpBb3RXSlBYYkl4Y3hoTS1DaWtlQk15QWRaR19VVlZaY3RINzVpelRKQl9RNDVIWENHZWZ4UXRTUlNDVWFCOE1LeUYxeHJCRHdlYnhkZ2xFVDlwdkY3SG01SENBb2ZhdTh0S21iS1BIenR6MkhRX29hNDlfMWx1V0lqeVV0RlRQWkhhd3JWWWJzbWYxdTRNaFh2SjR6VkhCcmYyVkQ?oc=5,Reuters,financial,crude oil price volatility,covid_oil_shock,0,True
2020-03-31,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell Reuters,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNbUdyd1JmYXJkRU1WY1ROWmR1S3k2ZS1ZeUFodEtGU0doZkI4UTdkcDd3bkFyV19tUVNNRGpBb3RXSlBYYkl4Y3hoTS1DaWtlQk15QWRaR19VVlZaY3RINzVpelRKQl9RNDVIWENHZWZ4UXRTUlNDVWFCOE1LeUYxeHJCRHdlYnhkZ2xFVDlwdkY3SG01SENBb2ZhdTh0S21iS1BIenR6MkhRX29hNDlfMWx1V0lqeVV0RlRQWkhhd3JWWWJzbWYxdTRNaFh2SjR6VkhCcmYyVkQ?oc=5,Reuters,financial,money managers crude oil,covid_oil_shock,0,True
2020-03-30,Japanese comedian Ken Shimura dies from coronavirus,Japanese comedian Ken Shimura dies from coronavirus Reuters,https://news.google.com/rss/articles/CBMipwFBVV95cUxPMXFvOGljZUFyWDNlTzVmS1Eyczk5TUJwcW9NcW9GZG5CY25nYm0wOFBOQ2JzTy1Ud0NkUV92Rm90NmJOZkU3QXRONEVLRTA4NWdIYjFHZ3VkNVNXZEdvLWhiVzVNM3hfZDBNUHFHS3Z2Rmh1Y3hTYjlkRWtZcHBOY1hkMVB6QXptZ3FacVNwRl9lMGtIaTRUdmx4WUh5V2k2VEQtX3lNcw?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-30,Hard times shape speedy Saudi and Kuwaiti coronavirus response,Hard times shape speedy Saudi and Kuwaiti coronavirus response Reuters,https://news.google.com/rss/articles/CBMitgFBVV95cUxQQ1NMZ0lRN1pWeTdKUkhwOHY5anhfNGlaMmVVM2RRa0lnSXJKR2xDN1VFcFZjcGZCLW9Qdnd3Um1tbHVkT1o2aE5senlELTBEcldjbHc1NENaUnpDZzhRR2xHcW9XTHlWamhJdy1TdVFoek40dGlrNFZMZW5rejExMjNoNWRHVmNMdHE0eF85UW1OTUJ6c29xRC1VaVdIWE1tOTRUSFVoLXRXdW5nMUdkb1MzM21Rdw?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-28,Rosneft sells Venezuelan assets to Russia after U.S. sanctions ramp up,Rosneft sells Venezuelan assets to Russia after U.S. sanctions ramp up Reuters,https://news.google.com/rss/articles/CBMivgFBVV95cUxOTFl5M2ZJWnlqWHJneVN1ZzdqZzVSeHVWR2NOQTJIU3RIOHlpUVBXNjhjQUdtYXExTlYzUUFQcDk1Y3pqeG1TSFhCNDBlVHE5cEF6TlJITll1cnN2MVNBRktZeGRGb2gwQXdYWXAyYmIwWnJfTjFxTktIcFNPcXdyZlZnWTBtUEYyZE1vNUlKWUxCeFRZUDBNeXhWNmdkNFQ5MWdNbE03Mkd2d1lSdUxuYnNMdzV6bVh1SnhtOUFR?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-27,"JFE to cut 13% steel capacity by March 2024, predicts record loss","JFE to cut 13% steel capacity by March 2024, predicts record loss Reuters",https://news.google.com/rss/articles/CBMiuwFBVV95cUxONDA5bHM5UXVKQkxtLWxUSnkwT0htTEs2MDdyNFowaVIycnhnNW9fMndCQjBkMDFfUjZldWtmWDl4bVRBYnVhUWlubDExTXRsVHVhY2NTejBlaXZxeXNKZGJTal9Ld3hDNDN0RHhhVGE0Y3lqWG84aGNEQlVQWGYwQ3pyd3g3OFp5M0xYZ0RIU083TDRldzQ3RU9DYnkyaTA3cWczU2QtOVNSYnBrN3N5Rkl4ZnlvSk1qZG5R?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-27,Inside an Italian hospital's COVID-19 unit,Inside an Italian hospital's COVID-19 unit Reuters,https://news.google.com/rss/articles/CBMiX0FVX3lxTE9RQlgxUHNQQlpNM25DM3h3S0FfaTJSRUhPQ0tnbkd3S3VuUXNrNW8yOVdJRHZHYU9ndzF5Q3V5VWZyc1hKWnZ4M3VSZzFBOTA0aUhCOEVKSThmR0xobWlZ?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-27,Indian banks' loans rise 6.1% in two weeks to March 13 - RBI,Indian banks' loans rise 6.1% in two weeks to March 13 - RBI Reuters,https://news.google.com/rss/articles/CBMirAFBVV95cUxNSTdyTW91b1BZcDR0TlBscWRrWnpjQURtM1B0MTBybDRoSTFYV1dRQXl3dk1ZUzJMYlppQlF6RHdjWUxJYjdRaXhDVm5qS3E4TUt3RzEteWdFNWlOVnBHampUN0tIenFsNS1OLTRfbVRYVzFTb1hHVnpXYU1BR0hhaE9JbkFQeDdRaFB2UXZHTGRDY2RlUmE0RGJlT3JBZVFVMGN3QjBvQWxMUnR1?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-27,Red lights out: Singapore's sex industry shuts due to coronavirus,Red lights out: Singapore's sex industry shuts due to coronavirus Reuters,https://news.google.com/rss/articles/CBMitwFBVV95cUxONXhjUU03OWVnRFV0ODRJd2FKSDVjMnl0T0xSZjlHWFRaRGZFdndZMjFqVjBmeVVUVTJ0YlJxeTMtZUd1aG5Ua1daaWVIbmwwbGlfWUd5T0Nabnl0aVppR2dmT1YyTUVNWFg2ejVkZ3EwNmxLZDJkNFJQM1d0UXI5MndwYk56dThaSkl3dTFPbW9FSk5RdDVTYk05cmJGdDRmc2tuX1lORUxmWThYMGIxT2Ezc2d6RGc?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-27,"JFE to cut 13% steel capacity by March 2024, predicts record loss","JFE to cut 13% steel capacity by March 2024, predicts record loss Reuters",https://news.google.com/rss/articles/CBMiuwFBVV95cUxONDA5bHM5UXVKQkxtLWxUSnkwT0htTEs2MDdyNFowaVIycnhnNW9fMndCQjBkMDFfUjZldWtmWDl4bVRBYnVhUWlubDExTXRsVHVhY2NTejBlaXZxeXNKZGJTal9Ld3hDNDN0RHhhVGE0Y3lqWG84aGNEQlVQWGYwQ3pyd3g3OFp5M0xYZ0RIU083TDRldzQ3RU9DYnkyaTA3cWczU2QtOVNSYnBrN3N5Rkl4ZnlvSk1qZG5R?oc=5,Reuters,financial,strong dollar oil prices,covid_oil_shock,0,True
2020-03-26,IMF approves $120.9 million disbursement for Kyrgyzstan to fight coronavirus,IMF approves $120.9 million disbursement for Kyrgyzstan to fight coronavirus Reuters,https://news.google.com/rss/articles/CBMixgFBVV95cUxOLUhTa2FFU0d0ak5rWkNDUmM5WXBYNDFuekZ1b2owV2w0WjlNTWllQnQ4STcyc2VZYWFiOVNzUkRXOFBkS3NzNy1tN3ZPZ2tJTktMUUFoS0N0bkpWZkticnVWS1JWd0p5TVhhcHRuM3RLdDY3WEhsa3FBSzgtQkpOeVdQNWl2ckUtTzRxNWtTN2lhNzRTRTBBRzdnMmRncndqR1gxTmlzbHRuSmxnQklnUzlwM193RDl5NENZdkZtVXo1bnRFb3c?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-26,"W SKRÓCIE-PKO BP: KNF oczekuje, że banki zatrzymają całość wypracowanego w poprzednich latach zysku ze względu na epidemię koronawirusa","W SKRÓCIE-PKO BP: KNF oczekuje, że banki zatrzymają całość wypracowanego w poprzednich latach zysku ze względu na epidemię koronawirusa Reuters",https://news.google.com/rss/articles/CBMi6wFBVV95cUxQM3M0MVVjNnZ1N0Q1cWl1dXNZVXdScjZIa2QtM09DOEp5dWNEZFUyU2pxYmtudnptWFRkd1I4VWtGZlhTb1ljNTRydFdIZjVHUk9DR3h0aG91c1JFVUMyZ2F3M1VwVEJJYVpBT0hsSlBzY3BaZmVxM3BVWGVFVFdqTjBTNVZ2c0ZRbGg1Y0hObDduUmcwMmN3LWc1TWVIdUhDZ19PY2hTcWd5cWM1ZWIwUzZublQ5dWhTd2FPSDgzSHBYZ3l0cUxUcENUd1I5V0J4SHVLY3lWTk5kck1qQTBwVzVhbmhNVnBjZUE4?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-25,China's CNOOC reports 16% rise in net profit in 2019,China's CNOOC reports 16% rise in net profit in 2019 Reuters,https://news.google.com/rss/articles/CBMiqgFBVV95cUxOT1pWVkRXVEt5TTFSbFlQalhwMU1VTG9XRjRpVnVlRDJKTUFDVEFJUlo0Tm9UMm5xUjBUMExUWVJLWlJ1ZGZJVGtuRjlZWFJOQ1puQWx2UTh1VmZ0dGNRWGtualFqNS05T1dQdTJhZ3oyUXZLa3gxMzVsdWNYZVZTZDRfMG5za1VPdlREQkI2REdVVnEzSGw0Vk5oMkUwZ2s4aWNlZGhnbGhOUQ?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-25,《汇市简讯》美元/人民币低开后回升，多头主导市场,《汇市简讯》美元/人民币低开后回升，多头主导市场 Reuters,https://news.google.com/rss/articles/CBMidEFVX3lxTE9SYmlUUmJQellnR3dqNnlveEUtQ3dFRzA5TUUwekxUS0F3NDBTbF9FZkEtem1QQUxScXU4ZzBzaThsa21aRG1jTnhtNXMxaHpDbjlxNTR5RHFYTmREdFZoMnJsaGFjYTMtVzZldGtPSEVlNGdm?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-25,"Japan's Mitsubishi, Chubu Elec completes $4.5 billion purchase of Eneco","Japan's Mitsubishi, Chubu Elec completes $4.5 billion purchase of Eneco Reuters",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQcDUxbk5XNXZfb0FVUnkydGlvWFdWcHlvc2pKYkM5U29FX21OQUUxQ0Q0Q1M0eUVFYXRlNWFpRWZNQVQtUkQ0dkNwdmF0eGxrdGpZSzVkbkN0QXlLSlI0V01pd1ZTNFlWaVhkR0U5RjFyUno1QWVkd0pfZVBoLUc2c3BIQ3ZvLWIxUlYzYWZvdkRxSUdVR2lqaV84VGktRHo0eF85UFdCWk5YenRXOUE0REFPdjFQbTVVRURHbVlwNVI?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-24,"Moscow's coronavirus outbreak much worse than it looks, Putin ally says","Moscow's coronavirus outbreak much worse than it looks, Putin ally says Reuters",https://news.google.com/rss/articles/CBMivwFBVV95cUxQUEIwb2E4SE9uUU5TbEVLVWkzeW5VdWtnaW9jVXhhZUs2VWtZUHUxU3JPbVNPZzlsdjF3WTBncHlMekE1Y2VBM3B6bno4SVlPRlpLaE1QS3JvaUZKWTV6OXNRc1l1SnhEcGlDLUtBNl90ZktiQnVvUU1jYk9ZeFZZcl91aXlDc0EyYXk4M1k3eG5VVHBaSndxRGktWlNWRFlZcVFPNk9kQTJjeWZuVVI2WnlTWmM3YlJ4a3RqUHA2cw?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-24,A Brazilian woman caught coronavirus on vacation. Her maid is now dead,A Brazilian woman caught coronavirus on vacation. Her maid is now dead Reuters,https://news.google.com/rss/articles/CBMivwFBVV95cUxQNjhLaHJsSFNlVWVhUDlRb2hNTUF6MGxBeGU4aW80bkVpSEZMSTdwN0JFbUFad3NOMjE4d3d4RTBNWXhZWVkwUE9xSGVXWkVzWVR2WW5vWE90Mk1wemdQTk9GMUFhMXJ5VlYzaXVwZlctV3hibW9Wa08zSHNXS1ROVHdGT2dKdUl6cVF5TjBjNUxvWmRxcE42Smtya1hOLWgyZ2dfMklFeWFrQlNqbjlCRC14eGxzeTd3MDVsTVBaOA?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-23,Italy struggles to bury its dead,Italy struggles to bury its dead Reuters,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNVXR5eV9tdnp2QUY5dlFsR2VCNlFaZjdWRldGSVRuRE8tbjRYSUIyaG5kTnNMMGdXMXp1REVlSmI4UDR6MFVCYnJ0NGszUEFmdGZKSjNpandTd1ZweTA4blNRZFk0aTgzZUV1bmlBeWVBSDFfWTRwRGRjNDNkNElOUm4xX1NJTVJVN2dn?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-23,Thailand reports 106 new coronavirus cases and three deaths,Thailand reports 106 new coronavirus cases and three deaths Reuters,https://news.google.com/rss/articles/CBMisgFBVV95cUxOWnBpSTBkaHBzY2lHS3UtZmVWMkZrcVA4cUZ3dE12dnlGaEJZSWtSUmxjbDhucUh6S29vSkNsRm8taWFpcnZxT0k0V2JKdTZrUFNEcklyakZlbmFNSnBsS29CaTBoYjBoZHFnS1k0Rk1EaEFDRW1rc0xON1R5dUNLcnZROERRV2dQbG9sQlhYczNMdk5UcW9GdGh6MUpTd1BNX2tOTkxaazNvenJYbmtYZk13?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-23,Thailand reports 106 new coronavirus cases and three deaths,Thailand reports 106 new coronavirus cases and three deaths Reuters,https://news.google.com/rss/articles/CBMisgFBVV95cUxOWnBpSTBkaHBzY2lHS3UtZmVWMkZrcVA4cUZ3dE12dnlGaEJZSWtSUmxjbDhucUh6S29vSkNsRm8taWFpcnZxT0k0V2JKdTZrUFNEcklyakZlbmFNSnBsS29CaTBoYjBoZHFnS1k0Rk1EaEFDRW1rc0xON1R5dUNLcnZROERRV2dQbG9sQlhYczNMdk5UcW9GdGh6MUpTd1BNX2tOTkxaazNvenJYbmtYZk13?oc=5,Reuters,financial,money managers crude oil,covid_oil_shock,0,True
2020-03-20,"OPEC supply curbs, U.S. measures could support oil prices near term: Goldman","OPEC supply curbs, U.S. measures could support oil prices near term: Goldman Reuters",https://news.google.com/rss/articles/CBMixwFBVV95cUxNdjJDZDNnRE1TR0ZsSERYQWl2d2xSZE5xNmlQX29ZY0psZXJNVzNSLTNaYnZrQXFDOVFDV3h5b1M4dGVtSFZHWXlwa3c4bWhXdjZ3YU9ZNUdFelZiWE1zVTRLdDlzcjBsMG5RaTBRQThFeXVVVmdqMnBIN3BCOG5ReGw1S09QTVFLNExyNU8tWDRkOGZwaUNBcTA4Q3ZmNWVCSTJCN0l0aXNMREQ0cVB3bDduRzhoSUFxdlRQNEFGelhzNTFCVGlZ?oc=5,Reuters,financial,WTI crude,covid_oil_shock,2,False
2020-03-20,U.S. to send envoy to Saudi Arabia; Texas suggests oil output cuts,U.S. to send envoy to Saudi Arabia; Texas suggests oil output cuts Reuters,https://news.google.com/rss/articles/CBMiugFBVV95cUxPSmJxeFBRUVRTZ0FiZmRzWTN4Z0pkNEphd1UxTkpDRkZrM1d5TExxenNOcWRmS3diSWRfZXl5SFRDZGs4eDU3T2FLaVF5THY4eks1eGFOTVBoVHdTaTJQT18xMlJ5MURiUWZUSk9CQlhYTVZPdjFlak5uYmEtak9CMkRHYWQ3V280Ump2TGwxeERKY2lzMXk2UjVWNnVmZEFBUlhCUjYzMVhUNmhEQkVkSGxBRVNObjZCNmc?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,2,False
2020-03-20,Qatar eases exit restrictions on migrant employees in the oil and gas industry,Qatar eases exit restrictions on migrant employees in the oil and gas industry Reuters,https://news.google.com/rss/articles/CBMiywFBVV95cUxNQlBGb3d1eGk2ZEFWR3JIQlEwclJXZXdXZ0ZVUWk3WlJaUGpSLUZoZTNpZ1Q3STBuRU04MmdhV0xlOWdqeHN0MXBCN09sUHJBam52V2ZvQnpMNUM1ZkY2NERZbnZaZUtxRkhWcmEwTHRrMGF6dlpvU2lpTlltLVc5aWdPYnZhZDhXNVlydG83bDdDVTZ3bXdLZWMyX0JScmszbjVRSnZiRmxNN0U5RHFpUnFqRTJFenVIM2FILUVJbzlKTmI5SDRiOWFYbw?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,2,False
2020-03-20,Coronavirus stops communal Muslim prayers,Coronavirus stops communal Muslim prayers Reuters,https://news.google.com/rss/articles/CBMilgFBVV95cUxPbzQtS21qYTNDWjhaWjlkWWt5T1luZkRSckxESXhfQTdyZDI1TVVrZDVrY3dHaEoySlJJTXJITlBVandsLURydkhOUkdJN1VuamlYTVBtQm50ZWNlMk0wYUI5WXM1dnNUT0xBMDEzeWVtUHcySm56Nlp0UkR6Y0dJalFfRG1DdUFHdXdtbndkWGo3ckdJTEE?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-20,Italy's Saipem inks deal with Equinor on floating solar farm technology,Italy's Saipem inks deal with Equinor on floating solar farm technology Reuters,https://news.google.com/rss/articles/CBMixwFBVV95cUxNVFV4ZmZmVzZHLWt3ejNyT1JKaW8wUXFRQ1QybnB3UnVpdmVna2U5QkpwSEpHT01pZE5nQVdCQm9WVkJTNk1HWFhReXFDZHFhN3VYc0NMSkp5bDFOMFdmQVhXZTQ4T1lQS1BPU1NMbWdkT1JpY01ySEpnSGhHUzF5ckVUQTQyb1E2Ymx2UXJiemRrR0NpSGxfZ0xuaFN1dHZGS0wyZ0I5YVh2d2U5Q3lEOFh1cnlhNHZMNGpHOEdVTDhZNXJNUFhJ?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,0,True
2020-03-20,"OPEC supply curbs, U.S. measures could support oil prices near term: Goldman","OPEC supply curbs, U.S. measures could support oil prices near term: Goldman Reuters",https://news.google.com/rss/articles/CBMixwFBVV95cUxNdjJDZDNnRE1TR0ZsSERYQWl2d2xSZE5xNmlQX29ZY0psZXJNVzNSLTNaYnZrQXFDOVFDV3h5b1M4dGVtSFZHWXlwa3c4bWhXdjZ3YU9ZNUdFelZiWE1zVTRLdDlzcjBsMG5RaTBRQThFeXVVVmdqMnBIN3BCOG5ReGw1S09QTVFLNExyNU8tWDRkOGZwaUNBcTA4Q3ZmNWVCSTJCN0l0aXNMREQ0cVB3bDduRzhoSUFxdlRQNEFGelhzNTFCVGlZ?oc=5,Reuters,financial,crude oil price volatility,covid_oil_shock,3,False
2020-03-19,"OPEC supply curbs, U.S. measures could support oil prices near term: Goldman","OPEC supply curbs, U.S. measures could support oil prices near term: Goldman Reuters",https://news.google.com/rss/articles/CBMixwFBVV95cUxNdjJDZDNnRE1TR0ZsSERYQWl2d2xSZE5xNmlQX29ZY0psZXJNVzNSLTNaYnZrQXFDOVFDV3h5b1M4dGVtSFZHWXlwa3c4bWhXdjZ3YU9ZNUdFelZiWE1zVTRLdDlzcjBsMG5RaTBRQThFeXVVVmdqMnBIN3BCOG5ReGw1S09QTVFLNExyNU8tWDRkOGZwaUNBcTA4Q3ZmNWVCSTJCN0l0aXNMREQ0cVB3bDduRzhoSUFxdlRQNEFGelhzNTFCVGlZ?oc=5,Reuters,financial,Brent crude,covid_oil_shock,2,False
2020-03-19,"OPEC supply curbs, U.S. measures could support oil prices near term: Goldman","OPEC supply curbs, U.S. measures could support oil prices near term: Goldman Reuters",https://news.google.com/rss/articles/CBMixwFBVV95cUxNdjJDZDNnRE1TR0ZsSERYQWl2d2xSZE5xNmlQX29ZY0psZXJNVzNSLTNaYnZrQXFDOVFDV3h5b1M4dGVtSFZHWXlwa3c4bWhXdjZ3YU9ZNUdFelZiWE1zVTRLdDlzcjBsMG5RaTBRQThFeXVVVmdqMnBIN3BCOG5ReGw1S09QTVFLNExyNU8tWDRkOGZwaUNBcTA4Q3ZmNWVCSTJCN0l0aXNMREQ0cVB3bDduRzhoSUFxdlRQNEFGelhzNTFCVGlZ?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,3,False
2020-03-19,U.S. blacklists five UAE-based companies over purchase of Iran oil,U.S. blacklists five UAE-based companies over purchase of Iran oil Reuters,https://news.google.com/rss/articles/CBMiuAFBVV95cUxPbXMyVi1CcDFwV3hKV2JLajdIcE5sMjV1cElWX0xJMUFhWXI2YktKUUlqUGgzS0VzYU1WYlNqbnhQc3VrYVJvck1VdWNpRGJYSXNzeFNLVmJPbTVSeGI5M0NBaDRraFZvRHQ2WFlxSDlHUWZfVUZWN1I5cHhnMzl5LTg5M2FxbVYxSHBjU0hNcGRWdTVOb3FQYlg0OTJTNkMtZVNJa2FRcDVUbFdJb2llcDlldnRMTHZq?oc=5,Reuters,financial,crude oil futures,covid_oil_shock,2,False
