date,headline,summary,url,source,category,keyword,oil_relevance,is_noise
2018-12-31,South Korea's December exports in surprise fall as global economy cools amid China-U.S. dispute,South Korea's December exports in surprise fall as global economy cools amid China-U.S. dispute Reuters,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQMk5hanpxT3hIdktSQzU5Rk1sRFd4TkpOX0Z4VEpDOHFFM3EzakNpd1d1QmY2YTFlTGRYLWFaXzNWa2VnbkxEYm9GbnowSWdGYUpYX0tQR3VadENtZ1R2R3BDbUZLQmVTd0JqQWlZUDktc1gtdTRqbTdnMWFwN1kzdDRNVWhiamlkYmtOcF9sSzFEU042dmstSDh5NXFoTGJ1SVN1LWlqVnR1ci05WUo5a0Q3M3gzWkpKa2F0dkdWRVZsMEpnTzZEZzllZFV4SF9X?oc=5,Reuters,geopolitical,russia ukraine oil,0,True
2018-12-31,"China factory activity shrinks for first time in over two years, 2019 looks tougher","China factory activity shrinks for first time in over two years, 2019 looks tougher Reuters",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPbzFpNjFPM3lxV2N1SDJzREZfcWRnMGJsZU41TWVtRkkwSjQ2a29ReVo2clJXQ1NBVmY2M2gyWW12cmlkdDRHQjUtLW1VQUJDcXAwblJDT1FYTzRmcFdCNl9CeUFzcTd2em9JdjQtZkNsdzZKU1lSeml6Sjh6LVMySHU4WjFLVThnRUNBOGVCYzVoNzlrSEEwUERnbkJjRE51bDRUOFpNb0hZcEJldTlVcVVKTE0tR3hiZmFldTZmRDdKckNTcWZOb0JPbnoyZ3F4?oc=5,Reuters,geopolitical,oil price war,0,True
2018-12-31,"Cooperation best for both China and U.S., Xi tells Trump","Cooperation best for both China and U.S., Xi tells Trump Reuters",https://news.google.com/rss/articles/CBMiqgFBVV95cUxNbUkyVU1OYmhSeFVmMjlEdHVtQnhoTUlsX2oxZ1F6QXQ1UGNDOExWcVBocXZPek56dlhUSF9qdmVGVm9ROTYxMHM1cUpnM0JSbGotdmJhb2l3SGhWdHQ0cUdZMk8yR0wtQThULVc4U21iM2lWSlRqV0ttY1VJU0FHY1dBaUx2dnI4Rml0eDVRbXA5U2w2cEpQLUxSZ2tZUXp1TDBiSmtKVGVBUQ?oc=5,Reuters,geopolitical,russia ukraine oil,0,True
2018-12-31,Factbox: Departments hit by partial U.S. government shutdown,Factbox: Departments hit by partial U.S. government shutdown Reuters,https://news.google.com/rss/articles/CBMirwFBVV95cUxPWkhKMVgzaVNxRjBqRzZETUlUS0VFUjVfcnUyQlh2RXBoOTF1M0VxTjhaNWlYWG9RMlFPRFNFXzhfemF6Zk1sSWtsWjJnTDUwc3Z4aVp3dXlKSDN4SWZlT2ZVTkRIN3FtcDhMQTdZTC1fWmRRY0tMT1NTYWxaX3NvMTBuZHVMbXZ6ZzZ4N08wMXVuakFWbHluN0RXUkg1N0dyWXZxbWlxaGZCd3JYM1FF?oc=5,Reuters,geopolitical,oil price war,0,True
2018-12-31,"Stocks pin hopes on Sino-U.S. talk, as year ends deep in the red","Stocks pin hopes on Sino-U.S. talk, as year ends deep in the red Reuters",https://news.google.com/rss/articles/CBMixwFBVV95cUxPbnlGU3pqTE5rZGt1ZEhnX2dscEloaVlTc1M4Z1NqUVRSN1ZWcDV6RTd2T1ZmRnl5d3hQcUFGeVNjdEpDVy1aSk1IV01XcHpycy1fWVBBRXdJelM0VTRLbjh2dGdFeHdmeUFITVduTUhtbzltVmhONEJsTXhWT1pFVktpOEl0UjVSY3BmVnRfN0VGMm9QbGVzSmpmVVVzUzR0VE1iOWZGeUdBb3lOb2NfcWxFTkduMWVVV210WXdvUUM3ZklyMGVj?oc=5,Reuters,geopolitical,middle east crude oil,0,True
2018-12-31,Thousands brave rain in New York's Times Square to welcome 2019,Thousands brave rain in New York's Times Square to welcome 2019 Reuters,https://news.google.com/rss/articles/CBMitgFBVV95cUxQaFY2NHhPSGFwNTI1MEl0UXlSOXZFeGhiNmVLOXRuaFdTUXBDb1g4TlpDYmRMcTd1YWttTzFaUV8teG85YV9GSHc2Uk5QVkRQM3B6cFFBa01CTkFuNmw0d0hzZ25mbm0xZUJRdFRwVXY0SlZXVkFfMkd1UGxkYU5jU1gzZHQ3VF9hYTJLTVo1M2lCdzQwbEZwcmJYWHBNNWg1UGJyTDhQdmozOVJDLVRCeVFxR2ZUdw?oc=5,Reuters,geopolitical,russia ukraine oil,0,True
2018-12-30,Hardline cleric Larijani named to head powerful Iran body,Hardline cleric Larijani named to head powerful Iran body Reuters,https://news.google.com/rss/articles/CBMirwFBVV95cUxQWkFaQTJyTzVnTkN0OW5lRm8xNHdtYl9mbmlMeFVYSnNwNUVFNkhlZDlWRno4QnVJbkZ2bm1lakIzUU9Pd3praVUzM0VPMWw5ZGhxY0ZyU3A0MnhZVUNoOGdKcm1tRFh6My1vVllDaTN1OWlrNHRSZFM3LTdjWTI1WHFQUDJ1UWIxb0xZTUE1WlBfTGgycHYyLWxsdjJPSFgzbmJzZFJ3UkxyNm1SYWsw?oc=5,Reuters,geopolitical,russia ukraine oil,1,False
2018-12-28,Spanish coal miners work last shifts before mines shuttered,Spanish coal miners work last shifts before mines shuttered Reuters,https://news.google.com/rss/articles/CBMivwFBVV95cUxNTVozV3g2dTRDZFdDRFZ4bklGVE1wVkhwUExHNjJmR2tBTWJpX1VtREtyU1lTbWRvR3dQYUZncEJ3YmRIZVlVaWJWWERDakxLZGQ2QVpwc2hYUnpwNDZkYTMwdngyNzlwSHluZ1NZaHVpdmU3RjlzQUhfeGtqYkhhdzlUQ1hZV3NMOVphX1lEZi11alJQMzhEUkYxTlJuN1FmeFVjQUdvMU9Yc3R5T25QVmFNNi1NeENwODVRd1A4TQ?oc=5,Reuters,geopolitical,middle east crude oil,0,True
2018-12-28,Wells Fargo to pay $575 million in settlement with U.S. states,Wells Fargo to pay $575 million in settlement with U.S. states Reuters,https://news.google.com/rss/articles/CBMitgFBVV95cUxPT0lTZnJhZzBCVllyaUFJYkpBcU9YbUMwcXlGMEtyemVwQ1RoaWgwdDRnajlvb3N2c1NzRmc5RWlSajFoMVFBZFJqZjVGTW9hVURTSDlyVm1rQTBFcTZlVmkxRUZwZXhQX0dTZEZkVjc3ZlFENm9WbVFFeVpHQlBjdkx2elJ0eGdoTndBc1JNczhkdFBBeXhZUVJfR0lXTmhkZDd6SUNOOU1FVTZWN2RZRnM3RzFEUQ?oc=5,Reuters,geopolitical,oil price war,0,True
2018-12-28,Vienna's male cheerleaders seek to redefine masculinity,Vienna's male cheerleaders seek to redefine masculinity Reuters,https://news.google.com/rss/articles/CBMilgFBVV95cUxOYkpOQUstN2MyVmtLMzU3blB1RU90emE5eVRTdlUxNEtKTU1CTGZOZTI4VWI2UF9nd2J6eG81ZGNlcnF1TmYwdzU2LTNhUEZmWl9QVjdkV0xobFdjTEZQVW9FQ0xPQ0V2TXIwaDhTV1F1ZkR5aVhFY19VOFZpOHg1Xzd0SGdQVDhQRUxHaHJPMEFLUzFPS0E?oc=5,Reuters,geopolitical,russia ukraine oil,0,True
