date,headline,summary,url,source,category,keyword,event,oil_relevance,is_noise
2020-03-31,"U.S. offers to lift Venezuela sanctions for power-sharing deal, shifting policy","U.S. offers to lift Venezuela sanctions for power-sharing deal, shifting policy Reuters",https://news.google.com/rss/articles/CBMiyAFBVV95cUxOLWtDM3RmZ2NTbW45UnVUMklGeFVTcXFUYjFMa2VsWjV0Zm5SclRSdm1Yc0RhSGltRzV0N2JXYXByRXVla2xKdUFxU2Rsb0YzUjVxcm1nSmpiYl85TVRBUVpRMUpxaVBEdWNZa3Q1cEFZQXBtYlpuSmtDalEyWDJXSTIxcVcxRk1JdjR0d2lMSHQ2SUo5M282TVVPVTQ0ckVSQU56MEFqT3NvMGVZdW5YNTFZdFBLTWd2QllidV9RQ3ZqaXpjX2lCbQ?oc=5,Reuters,geopolitical,geopolitical risk oil,covid_oil_shock,1,False
2020-03-31,"U.S. offers to lift Venezuela sanctions for power-sharing deal, shifting policy","U.S. offers to lift Venezuela sanctions for power-sharing deal, shifting policy Reuters",https://news.google.com/rss/articles/CBMiyAFBVV95cUxOLWtDM3RmZ2NTbW45UnVUMklGeFVTcXFUYjFMa2VsWjV0Zm5SclRSdm1Yc0RhSGltRzV0N2JXYXByRXVla2xKdUFxU2Rsb0YzUjVxcm1nSmpiYl85TVRBUVpRMUpxaVBEdWNZa3Q1cEFZQXBtYlpuSmtDalEyWDJXSTIxcVcxRk1JdjR0d2lMSHQ2SUo5M282TVVPVTQ0ckVSQU56MEFqT3NvMGVZdW5YNTFZdFBLTWd2QllidV9RQ3ZqaXpjX2lCbQ?oc=5,Reuters,geopolitical,iran crude oil sanctions,covid_oil_shock,2,False
2020-03-31,StanChart widens oil demand loss forecasts citing lockdowns,StanChart widens oil demand loss forecasts citing lockdowns Reuters,https://news.google.com/rss/articles/CBMib0FVX3lxTE54T2poSTFySldJcmJrWm5nS0FEY0pzR0hzRl8wM2pSajN6cTJ5Q1JjendwTlpad20xTXN4ekVXbEJnMFpqV1RKcHF0RmtTQk1UQ1dYVTNfVUxDSGZ2OXljR1Yta2F2OGdJVjRuVFl2cw?oc=5,Reuters,geopolitical,middle east crude oil,covid_oil_shock,2,False
2020-03-31,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell Reuters,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNbUdyd1JmYXJkRU1WY1ROWmR1S3k2ZS1ZeUFodEtGU0doZkI4UTdkcDd3bkFyV19tUVNNRGpBb3RXSlBYYkl4Y3hoTS1DaWtlQk15QWRaR19VVlZaY3RINzVpelRKQl9RNDVIWENHZWZ4UXRTUlNDVWFCOE1LeUYxeHJCRHdlYnhkZ2xFVDlwdkY3SG01SENBb2ZhdTh0S21iS1BIenR6MkhRX29hNDlfMWx1V0lqeVV0RlRQWkhhd3JWWWJzbWYxdTRNaFh2SjR6VkhCcmYyVkQ?oc=5,Reuters,geopolitical,middle east crude oil,covid_oil_shock,0,True
2020-03-31,Billionaire investor Steve Cohen: 'After an earthquake there are tremors',Billionaire investor Steve Cohen: 'After an earthquake there are tremors' Reuters,https://news.google.com/rss/articles/CBMixAFBVV95cUxQdmhkTzMydVRadmkzbExpeHJSbWRpTHRFQjVzNGdFeE1DMmFsTTJfMUtEUmlrT2JqMnQ1ek9sNkp4QnF5MGNCSVJ1REZNRERaMGRyc3ZCT1VFQjhTczNaWmZfbkNPaGNtVzV6ZTBOc0VhNktLYlhRSDVtODlBLW9qWElSeEtwYzdaeWc2QWRuM1VrTmQtX2hBMHNpVGxwNllSc3FWNWNaTHNzRm9uSVl0b3JQLXBFYW9rRi03LVZFaUxTV2FC?oc=5,Reuters,geopolitical,middle east crude oil,covid_oil_shock,0,True
2020-03-31,"Euro zone inflation slows sharply amid oil price war, coronavirus pandemic","Euro zone inflation slows sharply amid oil price war, coronavirus pandemic Reuters",https://news.google.com/rss/articles/CBMic0FVX3lxTE9Ldm5ta0F6OE1oZEhiNU9xeldzWVR1OEZjSjNRWEpSSmUzNFlpRkp0d2NSQnJzYTUyODQ0RlotTWN5T0RFT29DU3c1bXRIdTRDVzhuSENDZmNvWTlYWjRjaTNjSlhETUJPTjh6WjFGQVcxenc?oc=5,Reuters,geopolitical,oil price war,covid_oil_shock,3,False
2020-03-31,StanChart widens oil demand loss forecasts citing lockdowns,StanChart widens oil demand loss forecasts citing lockdowns Reuters,https://news.google.com/rss/articles/CBMib0FVX3lxTE54T2poSTFySldJcmJrWm5nS0FEY0pzR0hzRl8wM2pSajN6cTJ5Q1JjendwTlpad20xTXN4ekVXbEJnMFpqV1RKcHF0RmtTQk1UQ1dYVTNfVUxDSGZ2OXljR1Yta2F2OGdJVjRuVFl2cw?oc=5,Reuters,geopolitical,oil price war,covid_oil_shock,2,False
2020-03-31,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell Reuters,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNbUdyd1JmYXJkRU1WY1ROWmR1S3k2ZS1ZeUFodEtGU0doZkI4UTdkcDd3bkFyV19tUVNNRGpBb3RXSlBYYkl4Y3hoTS1DaWtlQk15QWRaR19VVlZaY3RINzVpelRKQl9RNDVIWENHZWZ4UXRTUlNDVWFCOE1LeUYxeHJCRHdlYnhkZ2xFVDlwdkY3SG01SENBb2ZhdTh0S21iS1BIenR6MkhRX29hNDlfMWx1V0lqeVV0RlRQWkhhd3JWWWJzbWYxdTRNaFh2SjR6VkhCcmYyVkQ?oc=5,Reuters,geopolitical,oil price war,covid_oil_shock,0,True
2020-03-31,"U.S. offers to lift Venezuela sanctions for power-sharing deal, shifting policy","U.S. offers to lift Venezuela sanctions for power-sharing deal, shifting policy Reuters",https://news.google.com/rss/articles/CBMiyAFBVV95cUxOLWtDM3RmZ2NTbW45UnVUMklGeFVTcXFUYjFMa2VsWjV0Zm5SclRSdm1Yc0RhSGltRzV0N2JXYXByRXVla2xKdUFxU2Rsb0YzUjVxcm1nSmpiYl85TVRBUVpRMUpxaVBEdWNZa3Q1cEFZQXBtYlpuSmtDalEyWDJXSTIxcVcxRk1JdjR0d2lMSHQ2SUo5M282TVVPVTQ0ckVSQU56MEFqT3NvMGVZdW5YNTFZdFBLTWd2QllidV9RQ3ZqaXpjX2lCbQ?oc=5,Reuters,geopolitical,oil price war,covid_oil_shock,1,False
2020-03-31,Trump finalizes rollback of Obama-era vehicle fuel efficiency standards,Trump finalizes rollback of Obama-era vehicle fuel efficiency standards Reuters,https://news.google.com/rss/articles/CBMi1gFBVV95cUxPcmdMZ3JRZVp6cVJnZlRnMnNuX2VMMDRidXlpWDFMX1F1dWtQWnJsRS1hYkJROFBGOWRXRE1zaW5FYkU0SnY4WFVTQ3d4N19JTnJjUkVZVjYtb3p6dlN5T05lTzdxSmxqZHpBbFhJY1dkMkFMOHl5NVFpRENHektadWJWSVdZVEVFSkR2SzhfUW84V1NoS1hNWmJKZnNBOHRxNFoyYnQtNUtyT2paUFVkSU1YM0pMRTRfb0doUEZibEtUa1dqaGZrWDVIY3l0VVJwNWZXdTdB?oc=5,Reuters,geopolitical,oil price war,covid_oil_shock,1,False
