date,headline,summary,url,source,category,keyword,event,oil_relevance,is_noise
2020-03-31,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell,COLUMN-China's PMI rebound is more likely the outlier than the template: Russell Reuters,https://news.google.com/rss/articles/CBMi2AFBVV95cUxNbUdyd1JmYXJkRU1WY1ROWmR1S3k2ZS1ZeUFodEtGU0doZkI4UTdkcDd3bkFyV19tUVNNRGpBb3RXSlBYYkl4Y3hoTS1DaWtlQk15QWRaR19VVlZaY3RINzVpelRKQl9RNDVIWENHZWZ4UXRTUlNDVWFCOE1LeUYxeHJCRHdlYnhkZ2xFVDlwdkY3SG01SENBb2ZhdTh0S21iS1BIenR6MkhRX29hNDlfMWx1V0lqeVV0RlRQWkhhd3JWWWJzbWYxdTRNaFh2SjR6VkhCcmYyVkQ?oc=5,Reuters,supply,crude oil exports,covid_oil_shock,0,True
2020-03-31,StanChart widens oil demand loss forecasts citing lockdowns,StanChart widens oil demand loss forecasts citing lockdowns Reuters,https://news.google.com/rss/articles/CBMib0FVX3lxTE54T2poSTFySldJcmJrWm5nS0FEY0pzR0hzRl8wM2pSajN6cTJ5Q1JjendwTlpad20xTXN4ekVXbEJnMFpqV1RKcHF0RmtTQk1UQ1dYVTNfVUxDSGZ2OXljR1Yta2F2OGdJVjRuVFl2cw?oc=5,Reuters,supply,oil inventory,covid_oil_shock,2,False
2020-03-30,Russland - Trump und Putin vereinbaren Gespräche über Öl-Markt,Russland - Trump und Putin vereinbaren Gespräche über Öl-Markt Reuters,https://news.google.com/rss/articles/CBMirwFBVV95cUxQTFZwemZ2S29Na2xqd1pUUll0TERvLXZsR3JjOV81QW9BTVdGRV9CVjluUTFWQ1Rtc2gydHNxc05tM1l3dTlIQlNueW12bm1rdWxNQk9hSF9FTGtIUEZjTFh4aDNfajYxX0pOY0ZISkhvWGRQeVg1UmZ0VnJQR0RBVVo0dzJYTzVJVTdlcjdDaUtaWW8wejFwblQ4a0RnVkJnT2QyLWJWU3lYN3lzcnVB?oc=5,Reuters,supply,OPEC production,covid_oil_shock,0,True
2020-03-28,Rosneft sells Venezuelan assets to Russia after U.S. sanctions ramp up,Rosneft sells Venezuelan assets to Russia after U.S. sanctions ramp up Reuters,https://news.google.com/rss/articles/CBMivgFBVV95cUxOTFl5M2ZJWnlqWHJneVN1ZzdqZzVSeHVWR2NOQTJIU3RIOHlpUVBXNjhjQUdtYXExTlYzUUFQcDk1Y3pqeG1TSFhCNDBlVHE5cEF6TlJITll1cnN2MVNBRktZeGRGb2gwQXdYWXAyYmIwWnJfTjFxTktIcFNPcXdyZlZnWTBtUEYyZE1vNUlKWUxCeFRZUDBNeXhWNmdkNFQ5MWdNbE03Mkd2d1lSdUxuYnNMdzV6bVh1SnhtOUFR?oc=5,Reuters,supply,crude oil exports,covid_oil_shock,0,True
2020-03-25,"Japan's Mitsubishi, Chubu Elec completes $4.5 billion purchase of Eneco","Japan's Mitsubishi, Chubu Elec completes $4.5 billion purchase of Eneco Reuters",https://news.google.com/rss/articles/CBMiwAFBVV95cUxQcDUxbk5XNXZfb0FVUnkydGlvWFdWcHlvc2pKYkM5U29FX21OQUUxQ0Q0Q1M0eUVFYXRlNWFpRWZNQVQtUkQ0dkNwdmF0eGxrdGpZSzVkbkN0QXlLSlI0V01pd1ZTNFlWaVhkR0U5RjFyUno1QWVkd0pfZVBoLUc2c3BIQ3ZvLWIxUlYzYWZvdkRxSUdVR2lqaV84VGktRHo0eF85UFdCWk5YenRXOUE0REFPdjFQbTVVRURHbVlwNVI?oc=5,Reuters,supply,crude oil exports,covid_oil_shock,0,True
2020-03-24,U.S. natgas futures rise from 24-year low with oil on cooler forecasts,U.S. natgas futures rise from 24-year low with oil on cooler forecasts Reuters,https://news.google.com/rss/articles/CBMiwAFBVV95cUxOUEhmODVZU29GaVl2OXB0dlAtXzZJWlhDdl9MM3VpNC0yY1FrTGV4NmxhNFZqVkJFMGpDeHBtUzdIWEN2Tzc2LUt5UkpNUWNpRENBcmhVeFBGUXNzbWtGYkFMTUJmSGhnNS1WZGI4cUw2cktBLThrMUJmTS04RkJHWUVWT21DNThYT3BuRjJBRG9VTFB5RUg2ZmFnQ1JNaWNyeG1SaFJ1RDNSYUpzVXVxYjU1RzJONnJLZWIyczR2Rko?oc=5,Reuters,supply,crude oil exports,covid_oil_shock,2,False
2020-03-20,U.S. to send envoy to Saudi Arabia; Texas suggests oil output cuts,U.S. to send envoy to Saudi Arabia; Texas suggests oil output cuts Reuters,https://news.google.com/rss/articles/CBMiugFBVV95cUxPSmJxeFBRUVRTZ0FiZmRzWTN4Z0pkNEphd1UxTkpDRkZrM1d5TExxenNOcWRmS3diSWRfZXl5SFRDZGs4eDU3T2FLaVF5THY4eks1eGFOTVBoVHdTaTJQT18xMlJ5MURiUWZUSk9CQlhYTVZPdjFlak5uYmEtak9CMkRHYWQ3V280Ump2TGwxeERKY2lzMXk2UjVWNnVmZEFBUlhCUjYzMVhUNmhEQkVkSGxBRVNObjZCNmc?oc=5,Reuters,supply,OPEC production,covid_oil_shock,2,False
2020-03-20,"OPEC supply curbs, U.S. measures could support oil prices near term: Goldman","OPEC supply curbs, U.S. measures could support oil prices near term: Goldman Reuters",https://news.google.com/rss/articles/CBMixwFBVV95cUxNdjJDZDNnRE1TR0ZsSERYQWl2d2xSZE5xNmlQX29ZY0psZXJNVzNSLTNaYnZrQXFDOVFDV3h5b1M4dGVtSFZHWXlwa3c4bWhXdjZ3YU9ZNUdFelZiWE1zVTRLdDlzcjBsMG5RaTBRQThFeXVVVmdqMnBIN3BCOG5ReGw1S09QTVFLNExyNU8tWDRkOGZwaUNBcTA4Q3ZmNWVCSTJCN0l0aXNMREQ0cVB3bDduRzhoSUFxdlRQNEFGelhzNTFCVGlZ?oc=5,Reuters,supply,OPEC quota,covid_oil_shock,3,False
2020-03-20,U.S. to send envoy to Saudi Arabia; Texas suggests oil output cuts,U.S. to send envoy to Saudi Arabia; Texas suggests oil output cuts Reuters,https://news.google.com/rss/articles/CBMiugFBVV95cUxPSmJxeFBRUVRTZ0FiZmRzWTN4Z0pkNEphd1UxTkpDRkZrM1d5TExxenNOcWRmS3diSWRfZXl5SFRDZGs4eDU3T2FLaVF5THY4eks1eGFOTVBoVHdTaTJQT18xMlJ5MURiUWZUSk9CQlhYTVZPdjFlak5uYmEtak9CMkRHYWQ3V280Ump2TGwxeERKY2lzMXk2UjVWNnVmZEFBUlhCUjYzMVhUNmhEQkVkSGxBRVNObjZCNmc?oc=5,Reuters,supply,OPEC quota,covid_oil_shock,2,False
2020-03-20,U.S. to send envoy to Saudi Arabia; Texas suggests oil output cuts,U.S. to send envoy to Saudi Arabia; Texas suggests oil output cuts Reuters,https://news.google.com/rss/articles/CBMiugFBVV95cUxPSmJxeFBRUVRTZ0FiZmRzWTN4Z0pkNEphd1UxTkpDRkZrM1d5TExxenNOcWRmS3diSWRfZXl5SFRDZGs4eDU3T2FLaVF5THY4eks1eGFOTVBoVHdTaTJQT18xMlJ5MURiUWZUSk9CQlhYTVZPdjFlak5uYmEtak9CMkRHYWQ3V280Ump2TGwxeERKY2lzMXk2UjVWNnVmZEFBUlhCUjYzMVhUNmhEQkVkSGxBRVNObjZCNmc?oc=5,Reuters,supply,US shale oil production,covid_oil_shock,3,False
