date,sent_demand_7d,news_demand_7d,nonews_demand_7d,sent_supply_7d,news_supply_7d,nonews_supply_7d,sent_geopolitical_7d,news_geopolitical_7d,nonews_geopolitical_7d,sent_financial_7d,news_financial_7d,nonews_financial_7d
2007-08-09,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-08-10,0.221255044811047,13.0,0,-0.0118599605436126,6.0,0,-0.0661296143662184,52.0,0,-0.1385572497267276,20.0,0
2007-08-11,0.221255044811047,13.0,0,-0.0118599605436126,6.0,0,-0.0661296143662184,52.0,0,-0.1385572497267276,20.0,0
2007-08-12,0.221255044811047,13.0,0,-0.0118599605436126,6.0,0,-0.0661296143662184,52.0,0,-0.1385572497267276,20.0,0
2007-08-13,0.221255044811047,13.0,0,-0.0118599605436126,6.0,0,-0.0661296143662184,52.0,0,-0.1385572497267276,20.0,0
2007-08-14,0.221255044811047,13.0,0,-0.0118599605436126,6.0,0,-0.008891208446584652,53.0,0,-0.1385572497267276,20.0,0
2007-08-15,0.221255044811047,13.0,0,-0.0118599605436126,6.0,0,-0.008891208446584652,53.0,0,-0.1385572497267276,20.0,0
2007-08-16,-0.3692391294126327,14.0,0,-0.4857966320899625,7.0,0,-0.09988777197173072,56.0,0,-0.54914527668152,21.0,0
2007-08-17,-0.9597333036363124,1.0,0,-0.9597333036363124,1.0,0,-0.1167668507744869,4.0,0,-0.9597333036363124,1.0,0
2007-08-18,-0.9597333036363124,1.0,0,-0.9597333036363124,1.0,0,-0.1167668507744869,4.0,0,-0.9597333036363124,1.0,0
2007-08-19,-0.9597333036363124,1.0,0,-0.9597333036363124,1.0,0,-0.14543107483122086,5.0,0,-0.9597333036363124,1.0,0
2007-08-20,-0.9597333036363124,1.0,0,-0.9597333036363124,1.0,0,-0.14543107483122086,5.0,0,-0.9597333036363124,1.0,0
2007-08-21,-0.9597333036363124,1.0,0,-0.9597333036363124,1.0,0,0.12819562614378002,5.0,0,-0.04525300161913032,2.0,0
2007-08-22,-0.9597333036363124,1.0,0,-0.9597333036363124,1.0,0,0.12819562614378002,5.0,0,-0.04525300161913032,2.0,0
2007-08-23,0.0,0.0,1,0.0,0.0,1,0.33323388872668147,2.0,0,0.8692273003980517,1.0,0
2007-08-24,0.0,0.0,1,0.0,0.0,1,0.33323388872668147,2.0,0,0.8692273003980517,1.0,0
2007-08-25,0.0,0.0,1,0.0,0.0,1,0.33323388872668147,2.0,0,0.8692273003980517,1.0,0
2007-08-26,0.0,0.0,1,0.0,0.0,1,0.8692273003980517,1.0,0,0.8692273003980517,1.0,0
2007-08-27,0.0,0.0,1,0.0,0.0,1,0.8692273003980517,1.0,0,0.8692273003980517,1.0,0
2007-08-28,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-08-29,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-08-30,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-08-31,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-09-01,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-09-02,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-09-03,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-09-04,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-09-05,0.0,0.0,1,0.0,0.0,1,-0.5366315934807062,2.0,0,0.0,0.0,1
2007-09-06,0.0,0.0,1,0.0,0.0,1,-0.4318590397015214,3.0,0,-0.3270864859223366,1.0,0
2007-09-07,0.0,0.0,1,0.0,0.0,1,0.021837950994571087,4.0,0,-0.3270864859223366,1.0,0
2007-09-08,0.0,0.0,1,0.0,0.0,1,0.021837950994571087,4.0,0,-0.3270864859223366,1.0,0
2007-09-09,0.0,0.0,1,0.0,0.0,1,0.038850515615195064,5.0,0,-0.3270864859223366,1.0,0
2007-09-10,-0.9500281447544694,1.0,0,0.0,0.0,1,0.038850515615195064,5.0,0,-0.3270864859223366,1.0,0
2007-09-11,-0.9500281447544694,1.0,0,0.0,0.0,1,-0.11897521577775476,6.0,0,-0.3270864859223366,1.0,0
2007-09-12,-0.9500281447544694,1.0,0,0.0,0.0,1,0.0065348766744137005,5.0,0,-0.3270864859223366,1.0,0
2007-09-13,-0.9500281447544694,1.0,0,0.0,0.0,1,0.08994021732360127,4.0,0,0.0,0.0,1
2007-09-14,-0.9500281447544694,1.0,0,0.0,0.0,1,-0.1898236876974503,3.0,0,0.0,0.0,1
2007-09-15,-0.9500281447544694,1.0,0,0.0,0.0,1,-0.1898236876974503,3.0,0,0.0,0.0,1
2007-09-16,-0.9500281447544694,1.0,0,0.0,0.0,1,-0.329679636284709,2.0,0,0.0,0.0,1
2007-09-17,0.0,0.0,1,0.0,0.0,1,-0.329679636284709,2.0,0,0.0,0.0,1
2007-09-18,0.0,0.0,1,0.0082609932869672,1.0,0,0.048437702935189,3.0,0,0.0036520808935165,1.0,0
2007-09-19,0.0,0.0,1,0.0082609932869672,1.0,0,0.0059565370902419,2.0,0,0.0036520808935165,1.0,0
2007-09-20,0.0,0.0,1,0.0082609932869672,1.0,0,0.0059565370902419,2.0,0,0.0036520808935165,1.0,0
2007-09-21,0.0,0.0,1,0.0082609932869672,1.0,0,0.0059565370902419,2.0,0,0.0036520808935165,1.0,0
2007-09-22,0.0,0.0,1,0.0082609932869672,1.0,0,0.0059565370902419,2.0,0,0.0036520808935165,1.0,0
2007-09-23,0.0,0.0,1,0.0082609932869672,1.0,0,0.0059565370902419,2.0,0,0.0036520808935165,1.0,0
2007-09-24,0.0,0.0,1,0.0082609932869672,1.0,0,0.0059565370902419,2.0,0,0.0036520808935165,1.0,0
2007-09-25,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-09-26,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-09-27,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-09-28,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-09-29,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-09-30,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-10-01,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2007-10-02,0.0,0.0,1,0.0,0.0,1,-0.5087222307920456,1.0,0,-0.5087222307920456,1.0,0
2007-10-03,0.0,0.0,1,0.0,0.0,1,-0.5087222307920456,1.0,0,-0.5087222307920456,1.0,0
2007-10-04,0.0,0.0,1,0.0,0.0,1,-0.5087222307920456,1.0,0,-0.5087222307920456,1.0,0
2007-10-05,0.0,0.0,1,0.0,0.0,1,-0.5087222307920456,1.0,0,-0.5087222307920456,1.0,0
2007-10-06,0.0,0.0,1,0.0,0.0,1,-0.03503586212173104,3.0,0,-0.5087222307920456,1.0,0
2007-10-07,0.0,0.0,1,0.0,0.0,1,-0.03503586212173104,3.0,0,-0.5087222307920456,1.0,0
2007-10-08,0.0,0.0,1,0.0,0.0,1,-0.03503586212173104,3.0,0,-0.5087222307920456,1.0,0
2007-10-09,0.0,0.0,1,0.0,0.0,1,0.3876242465339601,3.0,0,0.0,0.0,1
2007-10-10,0.0,0.0,1,0.0,0.0,1,0.1262651914730668,4.0,0,0.0,0.0,1
2007-10-11,0.0,0.0,1,0.0,0.0,1,0.1262651914730668,4.0,0,0.0,0.0,1
2007-10-12,0.0,0.0,1,0.0,0.0,1,0.09291949192993343,5.0,0,-0.0071176066994667,1.0,0
2007-10-13,0.0,0.0,1,0.0,0.0,1,-0.22927115857601166,4.0,0,-0.0071176066994667,1.0,0
2007-10-14,0.0,0.0,1,0.0,0.0,1,-0.22927115857601166,4.0,0,-0.0071176066994667,1.0,0
2007-10-15,0.0,0.0,1,0.0,0.0,1,-0.22927115857601166,4.0,0,-0.0071176066994667,1.0,0
2007-10-16,0.0,0.0,1,0.0,0.0,1,-0.1148702003993094,4.0,0,-0.0071176066994667,1.0,0
