,dataset1_raw_only,dataset2_raw_plus_derived,dataset3_diff_only,dataset4_derived_full
CPE,O,O,O,O
CPI,O,O,O,O
DollarIndex,O,O,O,O
FedFundsRate,O,O,O,O
IndustryProduction,O,O,O,O
MA_20,-,O,-,O
MA_5,-,O,-,O
MA_5_gt_MA_20,-,O,-,O
MA_ratio,-,O,-,O
OPECProduction,O,O,O,O
OilInventories,O,O,O,O
OilPrice,-,-,-,O
OilProduction,O,O,O,O
RealInterestRate,O,O,O,O
TermSpread,O,O,-,-
TermSpread_inversion,-,O,-,O
TreasuryYield,O,O,O,O
VIX,O,O,O,O
date,O,O,O,O
is_friday,-,O,-,O
is_monday,-,O,-,O
oil_diff_lag1,-,O,-,O
oil_diff_lag5,-,O,-,O
oil_diff_target,O,O,O,O
oil_momentum_20,-,O,-,O
oil_momentum_5,-,O,-,O
oil_volatility_20,-,O,-,O
oil_volatility_5,-,O,-,O
vix_high,-,O,-,O
