feature,importance_gain,importance_split
DollarIndex,432.4821791648865,15
OilInventories,305.3226947784424,9
TreasuryYield,268.1186103820801,11
OilProduction,177.83331155776978,7
IndustryProduction,152.74218821525574,10
CPI,127.90528011322021,7
VIX,113.15167808532715,8
OPECProduction,111.87307953834534,7
TermSpread,109.29665178060532,9
CPE,100.6982011795044,5
FedFundsRate,36.393099784851074,2
cond_inventory_draw,35.537099838256836,2
RealInterestRate,15.212599754333496,1
cond_termspread_inv,0.0,0
gfc_2008_window,0.0,0
cond_vix_gt_30,0.0,0
war_2022_window,0.0,0
covid_2020_window,0.0,0
opec_2014_window,0.0,0
opec_2014_shock,0.0,0
war_2022_regime,0.0,0
war_2022_shock,0.0,0
covid_2020_regime,0.0,0
covid_2020_shock,0.0,0
opec_2014_regime,0.0,0
gfc_2008_regime,0.0,0
gfc_2008_shock,0.0,0
cond_opec_cut,0.0,0
