feature,importance_gain,importance_split
oil_volatility_20,123.33179473876953,3
OilInventories,50.203800201416016,1
MA_20,23.932600021362305,1
VIX,14.682299613952637,1
oil_diff_lag1,11.841500282287598,1
RealInterestRate,8.430859565734863,1
is_monday,0.0,0
vix_high,0.0,0
TermSpread_inversion,0.0,0
oil_momentum_20,0.0,0
oil_momentum_5,0.0,0
MA_5_gt_MA_20,0.0,0
MA_ratio,0.0,0
MA_5,0.0,0
oil_diff_lag5,0.0,0
oil_volatility_5,0.0,0
CPI,0.0,0
FedFundsRate,0.0,0
TreasuryYield,0.0,0
TermSpread,0.0,0
OilProduction,0.0,0
OPECProduction,0.0,0
CPE,0.0,0
IndustryProduction,0.0,0
DollarIndex,0.0,0
is_friday,0.0,0
