feature,importance_gain,importance_split
oil_volatility_20,79.82599639892578,1
oil_volatility_5,45.33919906616211,1
oil_diff_lag5,33.022499084472656,1
FedFundsRate,19.81839942932129,1
IndustryProduction,19.219999313354492,1
war_2022_shock,0.0,0
gfc_2008_shock,0.0,0
gfc_2008_regime,0.0,0
opec_2014_shock,0.0,0
opec_2014_regime,0.0,0
covid_2020_shock,0.0,0
covid_2020_regime,0.0,0
RealInterestRate,0.0,0
is_monday,0.0,0
war_2022_regime,0.0,0
gfc_2008_window,0.0,0
opec_2014_window,0.0,0
covid_2020_window,0.0,0
war_2022_window,0.0,0
cond_vix_gt_30,0.0,0
cond_termspread_inv,0.0,0
cond_inventory_draw,0.0,0
is_friday,0.0,0
oil_momentum_20,0.0,0
vix_high,0.0,0
TermSpread_inversion,0.0,0
DollarIndex,0.0,0
VIX,0.0,0
CPE,0.0,0
OilInventories,0.0,0
OPECProduction,0.0,0
OilProduction,0.0,0
TermSpread,0.0,0
TreasuryYield,0.0,0
oil_diff_lag1,0.0,0
MA_5,0.0,0
MA_20,0.0,0
MA_ratio,0.0,0
MA_5_gt_MA_20,0.0,0
oil_momentum_5,0.0,0
CPI,0.0,0
cond_opec_cut,0.0,0
