feature,importance_gain,importance_split
CPI,668.6932001113892,16
OilProduction,546.7938003540039,18
VIX,374.8469018936157,16
CPE,220.18619918823242,7
DollarIndex,193.07859992980957,9
OilInventories,166.0565004348755,9
OPECProduction,164.1052007675171,8
FedFundsRate,131.39884853363037,6
IndustryProduction,55.82179927825928,3
TreasuryYield,46.826499938964844,3
RealInterestRate,34.02599906921387,2
cond_inventory_draw,0.0,0
cond_vix_spike,0.0,0
war_2022_regime,0.0,0
war_2022_window,0.0,0
covid_2020_window,0.0,0
opec_2014_window,0.0,0
gfc_2008_window,0.0,0
opec_2014_shock,0.0,0
war_2022_shock,0.0,0
covid_2020_regime,0.0,0
covid_2020_shock,0.0,0
opec_2014_regime,0.0,0
gfc_2008_regime,0.0,0
gfc_2008_shock,0.0,0
cond_opec_cut,0.0,0
