feature,importance_gain,importance_split
CPI,766.3512415885925,35
VIX,684.4264495372772,44
OilInventories,572.7237439155579,39
DollarIndex,523.2454881668091,36
OilProduction,515.0404872894287,34
CPE,384.75172328948975,28
OPECProduction,335.8865575790405,24
IndustryProduction,290.98372888565063,17
TreasuryYield,262.58826875686646,24
RealInterestRate,233.46766233444214,24
FedFundsRate,216.05612087249756,13
cond_opec_cut,28.471409797668457,2
gfc_2008_regime,0.0,0
gfc_2008_shock,0.0,0
opec_2014_regime,0.0,0
covid_2020_shock,0.0,0
covid_2020_regime,0.0,0
war_2022_shock,0.0,0
war_2022_regime,0.0,0
gfc_2008_window,0.0,0
opec_2014_window,0.0,0
covid_2020_window,0.0,0
war_2022_window,0.0,0
cond_vix_spike,0.0,0
cond_inventory_draw,0.0,0
opec_2014_shock,0.0,0
