feature,importance_gain,importance_split
oil_volatility_20,79.82599639892578,1
FedFundsRate,40.28269958496094,1
OilInventories,35.72460174560547,1
MA_ratio,26.771299362182617,1
CPI,20.303300857543945,1
MA_20,19.69409942626953,1
IndustryProduction,10.91510009765625,1
OilPrice,0.0,0
is_monday,0.0,0
vix_high,0.0,0
TermSpread_inversion,0.0,0
oil_momentum_20,0.0,0
oil_momentum_5,0.0,0
MA_5_gt_MA_20,0.0,0
MA_5,0.0,0
oil_diff_lag5,0.0,0
oil_volatility_5,0.0,0
RealInterestRate,0.0,0
oil_diff_lag1,0.0,0
TreasuryYield,0.0,0
OilProduction,0.0,0
OPECProduction,0.0,0
CPE,0.0,0
VIX,0.0,0
DollarIndex,0.0,0
is_friday,0.0,0
