feature,importance_gain,importance_split
CPI,120.09499740600586,3
OilProduction,82.42040157318115,3
CPE,34.126399993896484,1
VIX,23.901199340820312,1
MA_ratio,22.193300247192383,1
OilInventories,19.852800369262695,1
OPECProduction,19.41390037536621,1
FedFundsRate,18.89590072631836,1
MA_5,14.035699844360352,1
TreasuryYield,13.692099571228027,1
oil_volatility_20,8.880860328674316,1
MA_20,7.603340148925781,1
vix_high,0.0,0
is_monday,0.0,0
MA_5_gt_MA_20,0.0,0
TermSpread_inversion,0.0,0
oil_momentum_20,0.0,0
oil_momentum_5,0.0,0
OilPrice,0.0,0
oil_diff_lag5,0.0,0
oil_volatility_5,0.0,0
RealInterestRate,0.0,0
oil_diff_lag1,0.0,0
IndustryProduction,0.0,0
DollarIndex,0.0,0
is_friday,0.0,0
