feature,importance_gain,importance_split
oil_volatility_20,452.2528991699219,6
CPI,408.57830238342285,10
oil_volatility_5,319.0541000366211,10
OilProduction,238.9709987640381,7
oil_diff_lag5,203.20190048217773,7
VIX,175.59090423583984,4
MA_5,157.07699966430664,6
oil_diff_lag1,133.00010108947754,4
OilInventories,119.02669906616211,6
OilPrice,77.03225040435791,4
DollarIndex,76.10090065002441,3
MA_20,53.60300159454346,2
oil_momentum_20,52.671199798583984,2
MA_ratio,49.60379981994629,2
IndustryProduction,45.30230140686035,2
oil_momentum_5,30.962200164794922,1
CPE,25.80270004272461,1
OPECProduction,20.718700408935547,1
RealInterestRate,20.426700592041016,1
TreasuryYield,18.266300201416016,1
FedFundsRate,0.0,0
covid_2020_window,0.0,0
war_2022_regime,0.0,0
gfc_2008_window,0.0,0
opec_2014_window,0.0,0
cond_termspread_inv,0.0,0
war_2022_window,0.0,0
cond_vix_gt_30,0.0,0
covid_2020_regime,0.0,0
cond_inventory_draw,0.0,0
war_2022_shock,0.0,0
gfc_2008_regime,0.0,0
covid_2020_shock,0.0,0
opec_2014_regime,0.0,0
opec_2014_shock,0.0,0
gfc_2008_shock,0.0,0
is_friday,0.0,0
is_monday,0.0,0
vix_high,0.0,0
TermSpread_inversion,0.0,0
MA_5_gt_MA_20,0.0,0
cond_opec_cut,0.0,0
